GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
48191,3059.0,3028.0,2964.0,2939.0,2875.0,2847.0,2827.0,2828.0
48193,8394.0,8484.0,8461.0,8557.0,8211.0,8244.0,8320.0,8644.0
48195,5483.0,5463.0,5399.0,5279.0,5332.0,5270.0,5182.0,5006.0
48197,3964.0,3922.0,3933.0,4011.0,3567.0,3541.0,3529.0,3417.0
48199,57117.0,57107.0,57602.0,58305.0,56124.0,56576.0,57126.0,58670.0
48201,4652980.0,4698619.0,4713325.0,4731145.0,4697957.0,4726177.0,4758579.0,5009302.0
48203,66661.0,66726.0,66553.0,66386.0,68674.0,69098.0,69584.0,71370.0
48205,5721.0,5619.0,5576.0,5443.0,5465.0,5369.0,5307.0,4996.0
48207,5783.0,5813.0,5658.0,5754.0,5420.0,5408.0,5390.0,5435.0
48209,214485.0,222631.0,230191.0,241365.0,234573.0,245351.0,256429.0,292029.0
48211,4024.0,3825.0,3994.0,3901.0,3450.0,3371.0,3311.0,3134.0
48213,81064.0,82299.0,82737.0,83792.0,81717.0,82627.0,83658.0,87467.0
48215,860661.0,865939.0,868707.0,875200.0,865677.0,873167.0,880921.0,914820.0
48217,35819.0,36354.0,36649.0,37006.0,35686.0,36138.0,36664.0,38771.0
48219,22977.0,22971.0,23021.0,22921.0,21670.0,21495.0,21455.0,21505.0
48221,56273.0,60177.0,61643.0,63527.0,60521.0,62459.0,64198.0,69126.0
48223,36451.0,36738.0,37084.0,37170.0,36666.0,37008.0,37351.0,38784.0
48225,23116.0,23169.0,22968.0,22835.0,22288.0,22107.0,22042.0,22197.0
48227,35817.0,35925.0,36664.0,36540.0,34620.0,34488.0,33127.0,30833.0
48229,4604.0,4788.0,4886.0,4906.0,3322.0,3329.0,3331.0,3608.0
48231,93872.0,96493.0,98594.0,99807.0,98783.0,101596.0,104917.0,118729.0
48233,21343.0,21119.0,20938.0,20677.0,20801.0,20595.0,20413.0,19721.0
48235,1512.0,1516.0,1536.0,1553.0,1555.0,1561.0,1432.0,1526.0
48237,8821.0,8843.0,8935.0,9056.0,8494.0,8588.0,8623.0,9398.0
48239,14818.0,14874.0,14760.0,14854.0,14971.0,15010.0,15081.0,15284.0
48241,35550.0,35872.0,35529.0,35375.0,33369.0,33032.0,32807.0,32907.0
48243,2271.0,2252.0,2274.0,2245.0,2021.0,1992.0,1740.0,1778.0
48245,256299.0,255001.0,251565.0,250127.0,256755.0,254942.0,253939.0,253948.0
48247,5202.0,5248.0,5200.0,5184.0,4864.0,4830.0,4797.0,4583.0
48249,40871.0,40756.0,40482.0,40452.0,39203.0,39060.0,38863.0,38886.0
48251,167301.0,171361.0,175817.0,179575.0,177022.0,182690.0,188820.0,210547.0
48253,19827.0,19866.0,20083.0,19875.0,19721.0,19758.0,19968.0,20850.0
48255,15516.0,15650.0,15601.0,15562.0,14823.0,14805.0,14819.0,15137.0
48257,122883.0,128622.0,136154.0,143198.0,140145.0,149773.0,160718.0,197829.0
48259,43969.0,45603.0,47431.0,48523.0,43842.0,45376.0,46971.0,51828.0
