,FIPS,County,State,Population,X,Y,HC_2002,HC_2003,HC_2004,HC_2005,HC_2006,HC_2007,HC_2008,HC_2009,HC_2010,HC_2011,HC_2012,HC_2013,HC_2014,HC_2015,HC_2016,HC_2017,HC_2018,HC_2019,HC_2020,HC_2021,HC_2022,HC_2023,HC_2024,HC_2002_per_100k,HC_2003_per_100k,HC_2004_per_100k,HC_2005_per_100k,HC_2006_per_100k,HC_2007_per_100k,HC_2008_per_100k,HC_2009_per_100k,HC_2010_per_100k,HC_2011_per_100k,HC_2012_per_100k,HC_2013_per_100k,HC_2014_per_100k,HC_2015_per_100k,HC_2016_per_100k,HC_2017_per_100k,HC_2018_per_100k,HC_2019_per_100k,HC_2020_per_100k,HC_2021_per_100k,HC_2022_per_100k,HC_2023_per_100k,HC_2024_per_100k
43,17087,Johnson,Illinois,12417,-88.8809,37.4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,17089,Kane,Illinois,532403,-88.4287,41.9389,9,0,2,18,4,13,3,0,5,1,13,0,2,4,7,2,7,0,0,2,2,7,4,1.6904487765846548,0.0,0.37565528368547885,3.3808975531693095,0.7513105673709577,2.4417593439556127,0.5634829255282183,0.0,0.9391382092136972,0.18782764184273942,2.4417593439556127,0.0,0.37565528368547885,0.7513105673709577,1.314793492899176,0.37565528368547885,1.314793492899176,0.0,0.0,0.37565528368547885,0.37565528368547885,1.314793492899176,0.7513105673709577
45,17091,Kankakee,Illinois,109862,-87.8618,41.1377,1,0,1,3,1,0,0,0,0,0,3,1,0,0,1,2,0,1,0,0,0,0,0,0.9102328375598477,0.0,0.9102328375598477,2.7306985126795436,0.9102328375598477,0.0,0.0,0.0,0.0,0.0,2.7306985126795436,0.9102328375598477,0.0,0.0,0.9102328375598477,1.8204656751196955,0.0,0.9102328375598477,0.0,0.0,0.0,0.0,0.0
46,17093,Kendall,Illinois,128990,-88.4288,41.5905,2,0,1,3,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1.5505077913016514,0.0,0.7752538956508257,2.3257616869524766,1.5505077913016514,0.0,0.0,0.0,1.5505077913016514,0.0,0.0,0.0,0.7752538956508257,0.7752538956508257,0.0,0.0,0.7752538956508257,0.0,0.0,0.7752538956508257,0.7752538956508257,0.7752538956508257,0.0
47,17095,Knox,Illinois,49699,-90.2133,40.9318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0121129197770578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0121129197770578,0.0,0.0,0.0,0.0
48,17097,Lake,Illinois,696535,-88.0036,42.3233,8,1,0,11,11,5,0,0,1,0,7,6,2,5,2,6,8,0,0,5,1,1,6,1.1485424278751248,0.1435678034843906,0.0,1.5792458383282963,1.5792458383282963,0.717839017421953,0.0,0.0,0.1435678034843906,0.0,1.004974624390734,0.8614068209063436,0.2871356069687812,0.717839017421953,0.2871356069687812,0.8614068209063436,1.1485424278751248,0.0,0.0,0.717839017421953,0.1435678034843906,0.1435678034843906,0.8614068209063436
49,17099,LaSalle,Illinois,108669,-88.886,41.344,11,1,5,1,1,2,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,10.122482032594393,0.9202256393267629,4.601128196633815,0.9202256393267629,0.9202256393267629,1.8404512786535259,0.0,0.0,0.0,0.0,0.0,0.9202256393267629,0.9202256393267629,0.0,0.9202256393267629,0.9202256393267629,0.9202256393267629,0.0,0.0,0.0,0.0,0.0,0.0
50,17101,Lawrence,Illinois,15678,-87.7267,38.7199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,17103,Lee,Illinois,34096,-89.3004,41.7462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9328953542937586,0.0,0.0,0.0,2.9328953542937586,0.0,0.0,0.0,0.0,0.0,2.9328953542937586,0.0
52,17105,Livingston,Illinois,35648,-88.5577,40.8915,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8052064631956912,0.0,5.6104129263913824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,17107,Logan,Illinois,28618,-89.3675,40.1245,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.4943042840170517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4943042840170517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,17109,McDonough,Illinois,29682,-90.6779,40.4562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.369045212586753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,17111,McHenry,Illinois,307774,-88.4525,42.3244,2,0,0,3,6,5,0,0,1,1,6,2,1,2,2,4,2,0,0,0,1,1,1,0.6498274708065008,0.0,0.0,0.9747412062097514,1.9494824124195027,1.6245686770162524,0.0,0.0,0.3249137354032504,0.3249137354032504,1.9494824124195027,0.6498274708065008,0.3249137354032504,0.6498274708065008,0.6498274708065008,1.2996549416130017,0.6498274708065008,0.0,0.0,0.0,0.3249137354032504,0.3249137354032504,0.3249137354032504
56,17113,McLean,Illinois,171517,-88.8473,40.4909,3,1,1,4,3,1,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,1.7490977570736428,0.5830325856912143,0.5830325856912143,2.332130342764857,1.7490977570736428,0.5830325856912143,0.0,0.0,0.0,0.0,0.5830325856912143,1.1660651713824286,0.0,0.0,1.7490977570736428,0.0,0.0,0.0,0.0,0.0,0.5830325856912143,0.0,0.0
57,17115,Macon,Illinois,104009,-88.9616,39.86,9,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,8.653097328115836,0.9614552586795374,0.0,0.0,0.0,0.9614552586795374,0.9614552586795374,0.0,0.0,0.0,0.0,0.9614552586795374,0.0,0.0,0.9614552586795374,0.0,0.0,0.0,0.0,0.0,0.0,1.9229105173590748,0.9614552586795374
