,County_1,FIPS,Population,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
71,Peoria,17143,179179,86.19462898,2.370438381,28.10659274,15.24382505,3.935771922,18.88,27.59,1.48802104,0.83,0.8,0.75,0.5478701547733187
72,Perry,17145,20916,88.90569379,2.139186929,29.78375947,17.26345036,3.009038664,18.75,29.54,1.459253667,0.73,0.76,0.71,0.0
73,Piatt,17147,16344,85.8380639,1.738836171,28.72644451,15.97882287,3.760186791,0.0,0.0,1.561099534,0.79,0.78,0.76,0.0
74,Pike,17149,15561,85.83898947,2.194510674,29.33752906,16.47573094,3.769445368,19.45,26.27,1.757314792,0.78,0.79,0.78,0.0
75,Pope,17151,4177,93.21733081,2.377543587,29.57694874,17.45732971,2.978456365,19.3,26.92,2.100924047,0.79,0.84,0.76,0.0
76,Pulaski,17153,5335,92.29430207,1.86090425,29.70870911,18.2195882,2.959007476,20.09,27.53,1.52420263,0.79,0.8,0.82,0.0
77,Putnam,17155,5739,87.7195656,2.578654137,27.76821695,15.04479373,3.740326897,18.82,25.67,1.498178626,0.84,0.8,0.68,0.0
78,Randolph,17157,31782,88.28286697,1.812025694,30.16647777,17.27237389,3.067820626,20.96,28.76,1.375789721,0.73,0.77,0.74,0.0
79,Richland,17159,15513,89.24726747,2.161418188,29.51215753,16.49068655,3.565182598,19.79,28.47,1.296858704,0.75,0.77,0.74,0.0
80,Rock Island,17161,141879,88.15255089,3.069153108,27.90917957,15.16374668,3.755058113,18.9,26.43,1.265823904,0.82,0.79,0.65,0.0
81,St. Clair,17163,259686,85.8947409,1.785990302,30.33244708,17.66056241,3.158624182,21.3,30.57,1.336084553,0.75,0.76,0.74,0.3808073115003808
82,Saline,17165,23491,91.49270727,2.222310207,29.79123612,17.41956696,3.023812216,18.63,29.43,1.542844332,0.75,0.79,0.78,0.0
