County_1,FIPS,State,Population,X,Y,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024
Ogle,17141,Illinois,50643,-89.3206,42.0426,0.84,0.72,0.83,0.74,0.77,0.85,0.82,0.81,0.82,0.78,0.82,0.76,0.77,0.83,0.8,0.8,0.8,0.75,0.74,0.73,0.74,0.81,0.76,0.7718
Peoria,17143,Illinois,179179,-89.76,40.7881,0.83,0.74,0.8,0.75,0.81,0.82,0.82,0.82,0.8,0.79,0.79,0.78,0.81,0.82,0.81,0.81,0.75,0.74,0.7,0.71,0.79,0.76,0.83,0.7898
Perry,17145,Illinois,20916,-89.367,38.0838,0.73,0.79,0.74,0.72,0.78,0.77,0.78,0.78,0.76,0.8,0.77,0.75,0.79,0.78,0.78,0.78,0.71,0.75,0.79,0.75,0.8,0.71,0.79,0.7669
Piatt,17147,Illinois,16344,-88.5911,40.0104,0.79,0.76,0.84,0.73,0.8,0.87,0.83,0.83,0.78,0.79,0.82,0.77,0.81,0.83,0.83,0.82,0.76,0.76,0.81,0.81,0.79,0.79,0.82,0.8005
Pike,17149,Illinois,15561,-90.8826,39.6233,0.78,0.72,0.79,0.73,0.8,0.81,0.79,0.8,0.79,0.79,0.81,0.78,0.82,0.82,0.81,0.82,0.78,0.81,0.78,0.79,0.73,0.79,0.75,0.7576
Pope,17151,Illinois,4177,-88.5616,37.4128,0.79,0.8,0.79,0.78,0.78,0.8,0.82,0.8,0.84,0.85,0.85,0.84,0.84,0.84,0.86,0.85,0.76,0.79,0.8,0.72,0.74,0.79,0.78,0.7721
Pulaski,17153,Illinois,5335,-89.1266,37.2229,0.79,0.78,0.73,0.75,0.78,0.79,0.8,0.79,0.8,0.81,0.79,0.8,0.81,0.81,0.83,0.82,0.82,0.77,0.74,0.73,0.77,0.84,0.73,0.7796
Putnam,17155,Illinois,5739,-89.2858,41.2044,0.84,0.73,0.81,0.75,0.77,0.82,0.82,0.8,0.8,0.78,0.79,0.77,0.78,0.81,0.8,0.8,0.68,0.77,0.75,0.74,0.72,0.76,0.69,0.7218
Randolph,17157,Illinois,31782,-89.8237,38.0546,0.73,0.79,0.74,0.73,0.79,0.8,0.79,0.79,0.77,0.81,0.78,0.76,0.8,0.8,0.8,0.8,0.74,0.77,0.73,0.7,0.72,0.8,0.79,0.7699
Richland,17159,Illinois,15513,-88.0851,38.7123,0.75,0.75,0.77,0.73,0.77,0.83,0.81,0.8,0.77,0.79,0.79,0.76,0.8,0.82,0.82,0.81,0.74,0.72,0.7,0.68,0.77,0.78,0.77,0.7697
Rock Island,17161,Illinois,141879,-90.5632,41.4656,0.82,0.75,0.79,0.75,0.8,0.83,0.81,0.81,0.79,0.76,0.77,0.76,0.79,0.81,0.79,0.79,0.65,0.71,0.75,0.74,0.78,0.68,0.79,0.7507
St. Clair,17163,Illinois,259686,-89.9275,38.4699,0.75,0.77,0.81,0.72,0.8,0.81,0.79,0.8,0.76,0.79,0.8,0.75,0.8,0.79,0.79,0.79,0.74,0.75,0.78,0.72,0.79,0.77,0.73,0.7641
Saline,17165,Illinois,23491,-88.5408,37.7532,0.75,0.75,0.75,0.72,0.75,0.79,0.8,0.78,0.79,0.81,0.8,0.8,0.81,0.82,0.83,0.82,0.78,0.75,0.79,0.77,0.76,0.79,0.77,0.7727
Sangamon,17167,Illinois,194672,-89.6589,39.7582,0.81,0.72,0.82,0.72,0.77,0.84,0.8,0.81,0.8,0.78,0.79,0.76,0.8,0.82,0.81,0.81,0.79,0.78,0.76,0.74,0.8,0.8,0.75,0.784
Schuyler,17169,Illinois,6768,-90.6151,40.158,0.81,0.77,0.79,0.76,0.81,0.82,0.81,0.81,0.81,0.82,0.82,0.8,0.83,0.83,0.83,0.83,0.76,0.76,0.78,0.74,0.78,0.79,0.76,0.777
Scott,17171,Illinois,4951,-90.4747,39.6441,0.78,0.72,0.79,0.73,0.79,0.81,0.79,0.8,0.78,0.77,0.8,0.76,0.81,0.82,0.8,0.81,0.74,0.78,0.76,0.74,0.76,0.83,0.77,0.7848
Shelby,17173,Illinois,21634,-88.8055,39.3912,0.77,0.76,0.8,0.73,0.81,0.86,0.8,0.82,0.78,0.81,0.81,0.77,0.82,0.85,0.81,0.83,0.78,0.73,0.78,0.76,0.77,0.79,0.79,0.783
Stark,17175,Illinois,5342,-89.7975,41.0934,0.85,0.74,0.82,0.75,0.81,0.83,0.84,0.83,0.83,0.77,0.81,0.76,0.81,0.83,0.83,0.82,0.79,0.75,0.75,0.73,0.76,0.81,0.76,0.7793
Stephenson,17177,Illinois,44498,-89.6623,42.3517,0.82,0.74,0.82,0.77,0.78,0.84,0.81,0.81,0.8,0.76,0.79,0.77,0.78,0.82,0.78,0.79,0.77,0.74,0.77,0.78,0.8,0.79,0.82,0.8051
Tazewell,17179,Illinois,131803,-89.5134,40.5075,0.83,0.73,0.8,0.74,0.8,0.83,0.83,0.82,0.79,0.77,0.78,0.76,0.79,0.8,0.79,0.79,0.77,0.79,0.76,0.74,0.73,0.77,0.72,0.7407
Union,17181,Illinois,16653,-89.2529,37.4715,0.79,0.8,0.69,0.74,0.76,0.8,0.79,0.78,0.82,0.84,0.82,0.82,0.82,0.83,0.84,0.83,0.71,0.74,0.8,0.74,0.82,0.8,0.78,0.8005
Vermilion,17183,Illinois,75758,-87.7328,40.1834,0.81,0.75,0.78,0.74,0.81,0.84,0.84,0.83,0.8,0.81,0.8,0.78,0.82,0.82,0.83,0.82,0.82,0.72,0.67,0.77,0.69,0.82,0.75,0.7527
Wabash,17185,Illinois,11520,-87.8443,38.4461,0.75,0.73,0.75,0.73,0.75,0.82,0.78,0.78,0.78,0.77,0.75,0.75,0.78,0.82,0.8,0.8,0.69,0.77,0.75,0.73,0.78,0.77,0.77,0.7736
Warren,17187,Illinois,16844,-90.615,40.8488,0.85,0.77,0.83,0.77,0.83,0.85,0.84,0.84,0.83,0.79,0.81,0.78,0.83,0.84,0.83,0.83,0.72,0.76,0.76,0.74,0.77,0.8,0.71,0.7619
Washington,17189,Illinois,13887,-89.4105,38.3522,0.74,0.78,0.76,0.73,0.79,0.79,0.8,0.79,0.78,0.82,0.8,0.78,0.82,0.81,0.82,0.82,0.77,0.79,0.76,0.76,0.76,0.82,0.77,0.7836
Wayne,17191,Illinois,16215,-88.4256,38.4296,0.76,0.77,0.73,0.73,0.78,0.82,0.81,0.8,0.78,0.81,0.77,0.76,0.8,0.82,0.81,0.81,0.79,0.75,0.71,0.72,0.69,0.8,0.74,0.7412
White,17193,Illinois,13537,-88.1796,38.0875,0.8,0.75,0.74,0.73,0.74,0.82,0.82,0.79,0.8,0.78,0.76,0.77,0.78,0.82,0.82,0.81,0.71,0.71,0.75,0.67,0.76,0.69,0.81,0.7555
Whiteside,17195,Illinois,55175,-89.9123,41.7553,0.82,0.73,0.78,0.74,0.78,0.83,0.81,0.81,0.81,0.76,0.79,0.76,0.79,0.83,0.8,0.8,0.74,0.69,0.77,0.74,0.73,0.75,,0.7413
Will,17197,Illinois,690743,-87.9787,41.445,0.78,0.72,0.73,0.72,0.76,0.79,0.8,0.78,0.73,0.73,0.73,0.72,0.75,0.75,0.75,0.75,0.75,0.77,0.78,0.7,0.78,0.78,,0.7786
Williamson,17199,Illinois,66597,-88.9299,37.7303,0.79,0.79,0.74,0.74,0.78,0.78,0.8,0.79,0.8,0.82,0.8,0.8,0.81,0.81,0.82,0.81,0.77,0.72,,0.75,,0.78,,0.7805
Winnebago,17201,Illinois,282572,-89.1608,42.3363,0.81,0.74,0.81,0.74,0.77,0.83,0.79,0.79,0.79,0.77,0.8,0.75,0.77,0.81,0.78,0.79,,0.76,,,,,,#DIV/0!
